iso3c,country_name,start_year,end_year,quota_type,quota_strength_base,target_stage,target_stage_score,mandating_authority,mandating_authority_level,level_scope,lower_house_scope,upper_house_scope,subnational_scope,quota_target_percent,reserved_seats_number,has_any_sanction,sanction_reject_list,sanction_financial,sanction_other,placement_mandate,rank_order_zipper,requires_constitutional_amendment,legal_basis,source_url,source_quote,source_type,coder,confidence,notes
LBN,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
LBR,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
LBY,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
LKA,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
LSO,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
LTU,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
LUX,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
LVA,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MAR,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MDA,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MDG,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MDV,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MEX,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MKD,North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MLI,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MLT,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MMR,Burma/Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MNE,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MNG,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MOZ,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MRT,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MUS,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
MYS,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
NAM,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
NER,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
NGA,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
NIC,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
NLD,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
NOR,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
NPL,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
NZL,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
OMN,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
PAK,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
PAN,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
PER,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
PNG,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
POL,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
PRK,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
PRT,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
PRY,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
PSE,Palestine/West Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
PSG,Palestine/Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
QAT,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ROU,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
RUS,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
RWA,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SAU,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SDN,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SEN,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
