"Parline data explorer","https://data.ipu.org/data-explorer/","","","","","","","","","","","","","","","","",""
"Reference period","All historical data","","","","","","","","","","","","","","","","",""
"Data dictionary","https://data.ipu.org/data-dictionary/","","","","","","","","","","","","","","","","",""
"Structure","All chambers","","","","","","","","","","","","","","","","",""
"Region/Country","Any","","","","","","","","","","","","","","","","",""
"Publisher","Inter-Parliamentary Union","","","","","","","","","","","","","","","","",""
"Copyright and attribution","Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","","","","","","","","","","","","","","","","",""
"Licence","This work is licensed under Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International 

https://creativecommons.org/licenses/by-nc-sa/4.0/ ","","","","","","","","","","","","","","","","",""
"Website","https://data.ipu.org/data-explorer/?current_page=1&date=2026-05-01&fields=iso_alpha3,country_name,political_system,struct_parl_status,is_electoral_quota_women,percent_women_candidates,per_women_after_election&per_page=25&sort=country_name","","","","","","","","","","","","","","","","",""
"URL","https://data.ipu.org/export-explorer-historical/csv?current_page=1&date=2026-05-01&fields=iso_alpha3,country_name,political_system,struct_parl_status,is_electoral_quota_women,percent_women_candidates,per_women_after_election&per_page=25&sort=country_name","","","","","","","","","","","","","","","","",""
"API URL","http://api.data.ipu.org/v1/explorer?fields=iso_alpha3%2Ccountry_name%2Cpolitical_system%2Cstruct_parl_status%2Cis_electoral_quota_women%2Cpercent_women_candidates%2Cper_women_after_election&language=en&sort=country_name.en&page[size]=1000000&page[number]=1&date_range[from]=1889-01-01&date_range[to]=2026-05-28&historical=1","","","","","","","","","","","","","","","","",""
"Date accessed","2026-05-28 08:05:50","","","","","","","","","","","","","","","","",""
"
"
"Country code","Parliament code","Chamber code","Election code","Specialized body code","Entity type","Field Id","Field name","Timeseries type","Chamber name","Chamber type","Structure","Region","Date from","Date to","Delta","Value","Term key","Taxonomy key"
"","","","AG-LC01-E20180321","","Election","per_women_after_election","Percentage of women after the election","legislature","","Lower chamber","","","","","1","11.1","",""
"","","","AG-LC01-E20260430","","Election","per_women_after_election","Percentage of women after the election","legislature","","Lower chamber","","","","","1","11.1","",""
"","","","AG-LC01-E20140612","","Election","percent_women_candidates","Percentage of women candidates 
","legislature","","Lower chamber","","","","","1","12.2","",""
"","","","AG-LC01-E20140612","","Election","per_women_after_election","Percentage of women after the election","legislature","","Lower chamber","","","","","1","11.1","",""
"","","","","","Country","iso_alpha3","ISO Alpha-3 Country code","unrestricted","","","","","","","1","ALB","",""
"","","","","","Country","country_name","Country name","unrestricted","","","","","","","1","Albania","",""
"","","AL-LC01","","","Chamber","struct_parl_status","Structure & status of parliament","unrestricted","","Lower chamber","","","","","1","Lower chamber","lower_chamber","chamber_type"
"","","AL-LC01","","","Chamber","is_electoral_quota_women","Gender quota","unrestricted","","Lower chamber","","","2008-12-28","","1","Yes","",""
"","","","AL-LC01-E20250511","","Election","percent_women_candidates","Percentage of women candidates 
","legislature","","Lower chamber","","","","","1","38.5","",""
"","","","AL-LC01-E20250511","","Election","per_women_after_election","Percentage of women after the election","legislature","","Lower chamber","","","","","1","35.0","",""
"","","","AL-LC01-E20170625","","Election","percent_women_candidates","Percentage of women candidates 
","legislature","","Lower chamber","","","","","1","40.2","",""
"","","","AL-LC01-E20170625","","Election","per_women_after_election","Percentage of women after the election","legislature","","Lower chamber","","","","","1","27.9","",""
"","","","AL-LC01-E20210425","","Election","percent_women_candidates","Percentage of women candidates 
","legislature","","Lower chamber","","","","","1","39.8","",""
"","","","AL-LC01-E20210425","","Election","per_women_after_election","Percentage of women after the election","legislature","","Lower chamber","","","","","1","33.6","",""
"","","","","","Country","iso_alpha3","ISO Alpha-3 Country code","unrestricted","","","","","","","1","ARM","",""
"","","","","","Country","country_name","Country name","unrestricted","","","","","","","1","Armenia","",""
"","","","","","Country","political_system","Political system","unrestricted","","","","","2005-01-01","2018-03-31","1","Presidential-Parliamentary","presidential_parliamentary","political_system"
"","","","","","Country","political_system","Political system","unrestricted","","","","","2018-04-01","","1","Parliamentary system","parliamentary_system","political_system"
"","","AM-LC01","","","Chamber","struct_parl_status","Structure & status of parliament","unrestricted","","Lower chamber","","","","","1","Lower chamber","lower_chamber","chamber_type"
"","","AM-LC01","","","Chamber","is_electoral_quota_women","Gender quota","unrestricted","","Lower chamber","","","2018-01-01","","1","Yes","",""
"","","","AM-LC01-E20170402","","Election","percent_women_candidates","Percentage of women candidates 
","legislature","","Lower chamber","","","","","1","0.0","",""
"","","","AM-LC01-E20170402","","Election","per_women_after_election","Percentage of women after the election","legislature","","Lower chamber","","","","","1","17.1","",""
"","","","AM-LC01-E20181209","","Election","percent_women_candidates","Percentage of women candidates 
","legislature","","Lower chamber","","","","","1","32.1","",""
"","","","AM-LC01-E20181209","","Election","per_women_after_election","Percentage of women after the election","legislature","","Lower chamber","","","","","1","24.2","",""
"","","","AM-LC01-E20210620","","Election","per_women_after_election","Percentage of women after the election","legislature","","Lower chamber","","","","","1","33.6","",""
"","","","","","Country","iso_alpha3","ISO Alpha-3 Country code","unrestricted","","","","","","","1","AGO","",""
"","","","","","Country","country_name","Country name","unrestricted","","","","","","","1","Angola","",""
"","","","","","Country","political_system","Political system","unrestricted","","","","","2005-01-01","","1","Presidential-Parliamentary","presidential_parliamentary","political_system"
"","","AO-LC01","","","Chamber","struct_parl_status","Structure & status of parliament","unrestricted","","Lower chamber","","","","","1","Lower chamber","lower_chamber","chamber_type"
"","","AO-LC01","","","Chamber","is_electoral_quota_women","Gender quota","unrestricted","","Lower chamber","","","2013-01-01","","1","Yes","",""
"","","","AO-LC01-E20170823","","Election","per_women_after_election","Percentage of women after the election","legislature","","Lower chamber","","","","","1","26.8","",""
"","","","AO-LC01-E20220824","","Election","per_women_after_election","Percentage of women after the election","legislature","","Lower chamber","","","","","1","33.6","",""
"","","","","","Country","iso_alpha3","ISO Alpha-3 Country code","unrestricted","","","","","","","1","ARG","",""
"","","","","","Country","country_name","Country name","unrestricted","","","","","","","1","Argentina","",""
"","","","","","Country","political_system","Political system","unrestricted","","","","","2005-01-01","","1","Presidential system","presidential_system","political_system"
"","","AR-UC01","","","Chamber","struct_parl_status","Structure & status of parliament","unrestricted","","Upper chamber","","","","","1","Upper chamber","upper_chamber","chamber_type"
"","","AR-UC01","","","Chamber","is_electoral_quota_women","Gender quota","unrestricted","","Upper chamber","","","2017-12-15","","1","Yes","",""
"","","","AR-UC01-E20191027","","Election","per_women_after_election","Percentage of women after the election","legislature","","Upper chamber","","","","","1","38.9","",""
"","","","AR-UC01-E20251026","","Election","per_women_after_election","Percentage of women after the election","legislature","","Upper chamber","","","","","1","45.8","",""
"","","","AR-UC01-E20211114","","Election","per_women_after_election","Percentage of women after the election","legislature","","Upper chamber","","","","","1","43.1","",""
